rank,music,main_artist,year,featuring1,featuring2,photo
63,Pullin' Me Back,Chingy,2006,Tyrese,,https://charts-static.billboard.com/img/2006/06/chingy-pez-53x53.jpg
64,Bossy,Kelis,2006,Too $hort,,https://charts-static.billboard.com/img/2006/04/kelis-2so-53x53.jpg
65,Chain Hang Low,Jibbs,2006,,,https://charts-static.billboard.com/img/2006/07/jibbs-jl9-53x53.jpg
66,Smack That,Akon,2006,Eminem,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
67,One Wish,Ray J,2006,,,https://charts-static.billboard.com/img/2005/08/ray-j-rv3-53x53.jpg
68,"Sugar, We're Goin' Down",Fall Out Boy,2006,,,https://charts-static.billboard.com/img/2005/06/fall-out-boy-zhw-53x53.jpg
69,Gimme That,Chris Brown,2006,Lil Wayne,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
70,I Know You See It,Yung Joc,2006,Brandy 'Ms. B.' Hambrick,,https://charts-static.billboard.com/img/2006/06/yung-joc-f7d-53x53.jpg
71,Who Says You Can't Go Home,Bon Jovi,2006,,,https://charts-static.billboard.com/img/2006/01/bon-jovi-g8x-53x53.jpg
72,Too Little Too Late,JoJo,2006,,,https://charts-static.billboard.com/img/2006/07/jojo-iey-53x53.jpg
73,Touch It,Busta Rhymes,2006,,,https://charts-static.billboard.com/img/2005/10/busta-rhymes-sbv-53x53.jpg
74,Rompe,Daddy Yankee,2006,,,https://charts-static.billboard.com/img/2005/11/daddy-yankee-1tx-53x53.jpg
75,Deja Vu,Beyonce,2006,Jay Z,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
76,Life Is A Highway,Rascal Flatts,2006,,,https://charts-static.billboard.com/img/2006/06/rascal-flatts-o8u-53x53.jpg
77,Call Me When You're Sober,Evanescence,2006,,,https://charts-static.billboard.com/img/2006/08/evanescence-d6v-53x53.jpg
78,"Jesus, Take The Wheel",Carrie Underwood,2006,,,https://charts-static.billboard.com/img/2005/11/carrie-underwood-ko6-53x53.jpg
79,Show Stopper,Danity Kane,2006,,,https://charts-static.billboard.com/img/2006/08/danity-kane-gn6-53x53.jpg
80,Get Up,Ciara,2006,Chamillionaire,,https://charts-static.billboard.com/img/2006/07/ciara-b1v-53x53.jpg
81,We Be Burnin',Sean Paul,2006,,,https://charts-static.billboard.com/img/2005/03/sean-paul-uyx-91x91.jpg
82,Hate Me,Blue October,2006,,,https://charts-static.billboard.com/img/2006/02/blue-october-07a-53x53.jpg
83,You And Me,Lifehouse,2006,,,https://charts-static.billboard.com/img/2005/02/lifehouse-ekp-53x53.jpg
84,Beep,The Pussycat Dolls,2006,will.i.am,,https://charts-static.billboard.com/img/2005/12/the-pussycat-dolls-t1l-53x53.jpg
85,I Think They Like Me,Dem Franchize Boyz,2006,"Jermaine Dupri, Da Brat",Bow Wow,https://charts-static.billboard.com/img/2005/07/dem-franchize-boyz-a35-53x53.jpg
86,Say Goodbye,Chris Brown,2006,,,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg
87,Waiting On The World To Change,John Mayer,2006,,,https://charts-static.billboard.com/img/2017/05/john-mayer-53x53.jpg
88,Soul Survivor,Young Jeezy,2006,Akon,,https://charts-static.billboard.com/img/2005/07/jeezy-g79-53x53.jpg
89,Pump It,The Black Eyed Peas,2006,,,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-b9u-53x53.jpg
90,When I'm Gone,Eminem,2006,,,https://charts-static.billboard.com/img/2017/02/eminem-53x53.jpg
91,Hung Up,Madonna,2006,,,https://charts-static.billboard.com/img/1982/11/madonna-mcq-53x53.jpg
92,Stay Fly,Three 6 Mafia,2006,Young Buck,Eightball,https://charts-static.billboard.com/img/2005/07/three-6-mafia-wgx-53x53.jpg
93,Love,Keyshia Cole,2006,,,https://charts-static.billboard.com/img/2005/10/keyshia-cole-3ov-53x53.jpg
94,When You're Mad,Ne-Yo,2006,,,https://charts-static.billboard.com/img/2005/08/ne-yo-kuu-53x53.jpg
95,Why You Wanna,T.I.,2006,,,https://charts-static.billboard.com/img/2006/04/ti-e27-53x53.jpg
96,Stupid Girls,P!nk,2006,,,https://charts-static.billboard.com/img/2017/04/pnk-53x53.jpg
97,Feel Good Inc,Gorillaz,2006,,,https://charts-static.billboard.com/img/2005/04/gorillaz-n6n-53x53.jpg
98,I'm Sprung,T-Pain,2006,,,https://charts-static.billboard.com/img/2005/08/t-pain-kj8-53x53.jpg
99,Do I Make You Proud,Taylor Hicks,2006,,,https://charts-static.billboard.com/img/2006/06/taylor-hicks-crw-53x53.jpg
100,For You I Will (Confidence),Teddy Geiger,2006,,,https://charts-static.billboard.com/img/2006/02/teddy-geiger-29w-53x53.jpg
1,Irreplaceable,Beyonce,2007,,,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg
2,Umbrella,Rihanna,2007,Jay-Z,,https://charts-static.billboard.com/img/2007/04/rihanna-t38-53x53.jpg
3,The Sweet Escape,Gwen Stefani,2007,Akon,,https://charts-static.billboard.com/img/2006/12/gwen-stefani-72d-53x53.jpg
4,Big Girls Don't Cry,Fergie,2007,,,https://charts-static.billboard.com/img/2007/05/fergie-8pu-53x53.jpg
5,Buy U A Drank (Shawty Snappin'),T-Pain,2007,Yung Joc,,https://charts-static.billboard.com/img/2007/02/t-pain-kj8-53x53.jpg
6,Before He Cheats,Carrie Underwood,2007,,,https://charts-static.billboard.com/img/2006/02/carrie-underwood-pka-53x53.jpg
7,Hey There Delilah,Plain White T's,2007,,,https://charts-static.billboard.com/img/2007/03/plain-white-ts-8xj-53x53.jpg
8,I Wanna Love You,Akon,2007,Snoop Dogg,,https://charts-static.billboard.com/img/2006/09/akon-5il-i-wanna-love-you-g4m-53x53.jpg
9,Say It Right,Nelly Furtado,2007,,,https://charts-static.billboard.com/img/2006/11/nelly-furtado-ezw-53x53.jpg
10,Glamorous,Fergie,2007,Ludacris,,https://charts-static.billboard.com/img/2007/01/fergie-8pu-53x53.jpg
11,Don't Matter,Akon,2007,,,https://charts-static.billboard.com/img/2007/01/akon-5il-53x53.jpg
12,Girlfriend,Avril Lavigne,2007,,,https://charts-static.billboard.com/img/2007/03/avril-lavigne-9qr-53x53.jpg
13,Makes Me Wonder,Maroon 5,2007,,,https://charts-static.billboard.com/img/2007/04/maroon-5-vhb-53x53.jpg
14,Party Like A Rockstar,Shop Boyz,2007,,,https://charts-static.billboard.com/img/2007/03/shop-boyz-8yf-53x53.jpg
15,Smack That,Akon,2007,Eminem,,https://www.billboard.com/assets/1585328969/images/charts/bb-placeholder-new.jpg?4118ff5c23d0f1304dc5
16,This Is Why I'm Hot,Mims,2007,,,https://charts-static.billboard.com/img/2006/09/mims-wnl-53x53.jpg
