rank,music,main_artist,year,featuring1,featuring2,photo,id_music,id_position,danceability,energy,loudness,speechiness,acousticness,instrumentalness,tempo,uri,duration_ms
80,Get Up,Ciara,2006,Chamillionaire,,https://charts-static.billboard.com/img/2006/07/ciara-b1v-53x53.jpg,4PrquuUN34hswtM71OMvxS,79,0.941,0.631,-5.998,0.114,0.0366,1.8e-06,128.597,spotify:track:4PrquuUN34hswtM71OMvxS,263373.0
81,We Be Burnin',Sean Paul,2006,,,https://charts-static.billboard.com/img/2005/03/sean-paul-uyx-91x91.jpg,4kOTDj4SiZPkW1p96WMDNv,80,0.95,0.803,-4.195,0.151,0.145,0.0,117.0,spotify:track:4kOTDj4SiZPkW1p96WMDNv,213066.0
82,Hate Me,Blue October,2006,,,https://charts-static.billboard.com/img/2006/02/blue-october-07a-53x53.jpg,1tL40tfdtUaSLek4DvDDr3,81,0.449,0.691,-5.65,0.0349,0.477,0.0,93.267,spotify:track:1tL40tfdtUaSLek4DvDDr3,380200.0
83,You And Me,Lifehouse,2006,,,https://charts-static.billboard.com/img/2005/02/lifehouse-ekp-53x53.jpg,0815caqt2Lytro5EIzMufT,82,0.459,0.427,-7.734,0.0267,0.114,0.0,139.902,spotify:track:0815caqt2Lytro5EIzMufT,195493.0
84,Beep,The Pussycat Dolls,2006,will.i.am,,https://charts-static.billboard.com/img/2005/12/the-pussycat-dolls-t1l-53x53.jpg,5TXNLJ2EENAt3Tf9MX4kT2,83,0.935,0.745,-6.391,0.0431,0.00914,0.0,103.691,spotify:track:5TXNLJ2EENAt3Tf9MX4kT2,229360.0
85,I Think They Like Me,Dem Franchize Boyz,2006,"Jermaine Dupri, Da Brat",Bow Wow,https://charts-static.billboard.com/img/2005/07/dem-franchize-boyz-a35-53x53.jpg,5a4AQWs84xeEyYUd1iC2Pn,84,0.781,0.625,-9.139,0.373,0.00447,0.0,83.024,spotify:track:5a4AQWs84xeEyYUd1iC2Pn,282093.0
86,Say Goodbye,Chris Brown,2006,,,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg,5F7IJrXD6Fa3EmqoYE0gU4,85,0.8,0.502,-6.062,0.0371,0.00167,0.0,115.091,spotify:track:5F7IJrXD6Fa3EmqoYE0gU4,289760.0
87,Waiting On The World To Change,John Mayer,2006,,,https://charts-static.billboard.com/img/2017/05/john-mayer-53x53.jpg,,86,,,,,,,,,
88,Soul Survivor,Young Jeezy,2006,Akon,,https://charts-static.billboard.com/img/2005/07/jeezy-g79-53x53.jpg,,87,,,,,,,,,
89,Pump It,The Black Eyed Peas,2006,,,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-b9u-53x53.jpg,,88,,,,,,,,,
90,When I'm Gone,Eminem,2006,,,https://charts-static.billboard.com/img/2017/02/eminem-53x53.jpg,42YNobZ4HN3tRVEA47wLT6,89,0.619,0.746,-5.479,0.36,0.0537,0.0,149.944,spotify:track:42YNobZ4HN3tRVEA47wLT6,281133.0
91,Hung Up,Madonna,2006,,,https://charts-static.billboard.com/img/1982/11/madonna-mcq-53x53.jpg,3850dYVgOFIXJh5U4BFEWH,90,0.649,0.647,-7.695,0.0452,0.0039,0.161,125.02,spotify:track:3850dYVgOFIXJh5U4BFEWH,337733.0
92,Stay Fly,Three 6 Mafia,2006,Young Buck,Eightball,https://charts-static.billboard.com/img/2005/07/three-6-mafia-wgx-53x53.jpg,5MYFw4T2gy52pOGBN4EYHS,91,0.789,0.881,-5.758,0.0331,0.108,0.0,133.301,spotify:track:5MYFw4T2gy52pOGBN4EYHS,236600.0
93,Love,Keyshia Cole,2006,,,https://charts-static.billboard.com/img/2005/10/keyshia-cole-3ov-53x53.jpg,,92,,,,,,,,,
94,When You're Mad,Ne-Yo,2006,,,https://charts-static.billboard.com/img/2005/08/ne-yo-kuu-53x53.jpg,5FXOEdfNW7nYQrBWtW49Cl,93,0.66,0.548,-7.127,0.215,0.364,0.0,86.947,spotify:track:5FXOEdfNW7nYQrBWtW49Cl,222000.0
95,Why You Wanna,T.I.,2006,,,https://charts-static.billboard.com/img/2006/04/ti-e27-53x53.jpg,1g0oI97rPdYuWDIpkbtQdv,94,0.802,0.772,-4.893,0.192,0.358,0.0,96.046,spotify:track:1g0oI97rPdYuWDIpkbtQdv,215000.0
96,Stupid Girls,P!nk,2006,,,https://charts-static.billboard.com/img/2017/04/pnk-53x53.jpg,5oxGaQRd6cLnEcxxbw0soP,95,0.689,0.886,-5.045,0.0639,0.000739,0.00187,100.029,spotify:track:5oxGaQRd6cLnEcxxbw0soP,197173.0
97,Feel Good Inc,Gorillaz,2006,,,https://charts-static.billboard.com/img/2005/04/gorillaz-n6n-53x53.jpg,0d28khcov6AiegSCpG5TuT,96,0.818,0.705,-6.679,0.177,0.00836,0.00233,138.559,spotify:track:0d28khcov6AiegSCpG5TuT,222640.0
98,I'm Sprung,T-Pain,2006,,,https://charts-static.billboard.com/img/2005/08/t-pain-kj8-53x53.jpg,,97,,,,,,,,,
99,Do I Make You Proud,Taylor Hicks,2006,,,https://charts-static.billboard.com/img/2006/06/taylor-hicks-crw-53x53.jpg,2jv9Ppwz9u3lqWfXV0q2sW,98,0.463,0.524,-8.207,0.0316,0.026,0.0,144.055,spotify:track:2jv9Ppwz9u3lqWfXV0q2sW,248693.0
100,For You I Will (Confidence),Teddy Geiger,2006,,,https://charts-static.billboard.com/img/2006/02/teddy-geiger-29w-53x53.jpg,,99,,,,,,,,,
1,Irreplaceable,Beyonce,2007,,,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg,6RX5iL93VZ5fKmyvNXvF1r,100,0.447,0.694,-4.637,0.382,0.0293,5.46e-06,175.868,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,227853.0
